source_tag,mb_genre,mb_subgenre
abstract,electronic,abstract
abstract electronic,electronic,abstract
acid,electronic,acid
adult contemporary,pop,adultcontemporary
afrobeat,funk / soul,afrobeat
american,rock,american
american rock,rock,american
bass music,hip hop,bass music
bayou funk,funk / soul,bayou funk
beat music,rock,beat
bebop,jazz,bop
blues,blues,rhythm & blues
british invasion,rock,britishinvasion
chanson française,pop,chanson
children's music,children's,
classic metal,metal,classicmetal
classic pop,pop,classicpop
classical,classical,early
contemporary r&b,funk / soul,contemporary r&b
crust punk,rock,crust
cuban,latin,cubano
disco,funk / soul,disco
doo-wop,oldie,doowop
drum and bass,electronic,drum n bass
early classical,classical,early
east coast hip hop,hiphop,eastcoast
electronic,electronic,abstract
epic metal,metal,epicmetal
ethereal wave,rock,ethereal
funk,funk / soul,funk
gangsta rap,hip hop,gangsta
german hip hop,hiphop,germanhiphop
gospel,funk / soul,gospel
hardcore,electronic,hardcore
hindustani classical,"folk, world, & country",hindustani
hip hop,hip hop,bass music
impressionism,classical,impressionist
jazz,jazz,bop
jazz rap,hip hop,jazzy hip-hop
jazzdance,electronic,jazzdance
latin,latin,cubano
melodic metal,metal,melodicmetal
metal,metal,classicmetal
modern jazz,jazz,modernjazz
neo soul,funk / soul,neo soul
neoclassicism,classical,neo-classical
nordic folk,"folk, world, & country",nordic
norwegian metal,metal,norwegian
nueva canción,latin,nueva cancion
p.funk,funk / soul,p.funk
pagan metal,metal,paganmetal
pop,pop,chanson
progressive death metal,metal,progressivedeathmetal
progressive rock,rock,prog rock
psychedelic,funk / soul,psychedelic
r&b,blues,rhythm & blues
rap,hiphop,rap
rock,rock,beat
rock and roll,rock,rock & roll
soul,funk / soul,soul
soundtrack,stage & screen,soundtrack
thrash metal,rock,thrash
tribal,electronic,tribal
urban soul,soul,urban
vocal,pop,vocal
west coast hip hop,hiphop,westcoast
